id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
38,Movie,The Lunchbox,Ritesh Batra,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui",India,2013,PG,104 min,"Dramas, Independent Movies, International Movies","A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a lonely widower to a neglected housewife."
39,Movie,Badhaai Ho,Amit Sharma,"Ayushmann Khurrana, Sanya Malhotra, Neena Gupta, Gajraj Rao",India,2018,TV-14,124 min,"Comedies, Dramas, International Movies","A middle-aged couple's unexpected pregnancy throws their family into a state of chaos and embarrassment, forcing them to confront societal judgment."
40,Movie,Munna Bhai M.B.B.S.,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani",India,2003,TV-14,156 min,"Comedies, Dramas, International Movies","A gangster sets out to fulfill his father's dream of him becoming a doctor. With help from his sidekick, he enrolls in a medical college."
41,TV Show,Delhi Crime,Richie Mehta,"Shefali Shah, Rasika Dugal, Adil Hussain, Rajesh Tailang",India,2019,TV-MA,1 Season,"Crime TV Shows, Dramas, International TV Shows","Based on the 2012 Delhi gang rape case, this series follows the Delhi Police investigation to find the men who perpetrated the heinous crime."
42,Movie,Dev.D,Anurag Kashyap,"Abhay Deol, Mahie Gill, Kalki Koechlin",India,2009,TV-MA,144 min,"Dramas, International Movies, Romantic Movies","A modern-day take on the classic novel 'Devdas'. A young man, after breaking up with his childhood sweetheart, finds solace in drugs and a troubled but good-hearted prostitute."
43,Movie,Omkara,Vishal Bhardwaj,"Ajay Devgn, Saif Ali Khan, Kareena Kapoor, Konkona Sen Sharma, Vivek Oberoi",India,2006,TV-MA,155 min,"Action & Adventure, Dramas, International Movies","A politically-minded enforcer's misguided trust in his lieutenant leads to a tragic tale of jealousy, betrayal, and violence. An adaptation of Shakespeare's 'Othello'."
44,Movie,Jab We Met,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh",India,2007,TV-PG,138 min,"Comedies, International Movies, Romantic Movies","A heartbroken tycoon aimlessly boards a train and meets a bubbly, talkative young woman. Their journey together changes his outlook on life."
45,Movie,A Wednesday!,Neeraj Pandey,"Anupam Kher, Naseeruddin Shah, Jimmy Sheirgill, Aamir Bashir",India,2008,TV-14,104 min,"Action & Adventure, Dramas, Thrillers","A retiring police commissioner recounts the most memorable case of his career, where he was informed that bombs have been planted in Mumbai."
46,Movie,Swades,Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal",India,2004,PG,210 min,"Dramas, International Movies, Music & Musicals","A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots."
47,Movie,Black Friday,Anurag Kashyap,"Kay Kay Menon, Pavan Malhotra, Aditya Srivastava, Imtiaz Ali",India,2004,TV-MA,143 min,"Dramas, International Movies, Thrillers","A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved."
48,Movie,Taare Zameen Par,Aamir Khan,"Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma",India,2007,PG,165 min,"Dramas, International Movies, Music & Musicals","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
49,TV Show,Breathe,Mayank Sharma,"R. Madhavan, Amit Sadh, Hrishikesh Joshi, Sapna Pabbi",India,2018,TV-MA,1 Season,"Dramas, International TV Shows, TV Thrillers","A brilliant but unconventional cop investigates a series of seemingly unconnected deaths of organ donors. The case leads him to a suspect he can't seem to crack."
50,Movie,Mardaani,Pradeep Sarkar,"Rani Mukerji, Tahir Raj Bhasin, Jisshu Sengupta",India,2014,TV-MA,113 min,"Action & Adventure, Dramas, International Movies","A fearless cop chases a ruthless kingpin of a child trafficking racket in a cat-and-mouse game that leads her across the country."
51,Movie,Rang De Basanti,Rakeysh Omprakash Mehra,"Aamir Khan, Siddharth, Sharman Joshi, Kunal Kapoor, Soha Ali Khan, R. Madhavan, Alice Patten",India,2006,TV-14,167 min,"Comedies, Dramas, International Movies","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
52,Movie,Piku,Shoojit Sircar,"Amitabh Bachchan, Deepika Padukone, Irrfan Khan, Jisshu Sengupta",India,2015,TV-PG,123 min,"Comedies, Dramas, International Movies","A quirky road trip. A story of a dysfunctional family, where a cantankerous father and his strong-willed daughter embark on a journey from Delhi to Kolkata with a reluctant taxi owner."
53,TV Show,Sacred Games,Anurag Kashyap, Vikramaditya Motwane,"Saif Ali Khan, Nawazuddin Siddiqui, Radhika Apte, Pankaj Tripathi",India,2019,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Thrillers","Sartaj Singh continues his quest to save Mumbai, unraveling the larger conspiracy involving a guru, an actress, and a mysterious criminal mastermind."
54,Movie,Udaan,Vikramaditya Motwane,"Rajat Barmecha, Ronit Roy, Aayan Boradia, Ram Kapoor",India,2010,TV-14,134 min,"Dramas, Independent Movies, International Movies","Expelled from his school, a 16-year-old boy returns home to his abusive and oppressive father. He must fight to pursue his dream of being a writer."
55,Movie,Dil Chahta Hai,Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta, Sonali Kulkarni, Dimple Kapadia",India,2001,TV-PG,183 min,"Comedies, Dramas, International Movies","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships create tension."
56,TV Show,Mirzapur,Gurmmeet Singh, Mihir Desai,"Ali Fazal, Pankaj Tripathi, Divyendu Sharma, Shweta Tripathi, Rasika Dugal",India,2020,TV-MA,2 Seasons,"Crime TV Shows, Dramas, International TV Shows","The world of Mirzapur has become more complex. The stakes are higher. The game is on, and the board is bloody. Guddu and Golu are on a path of revenge."
57,Movie,My Name Is Khan,Karan Johar,"Shah Rukh Khan, Kajol, Jimmy Sheirgill, Sonya Jehan",India,2010,PG-13,165 min,"Dramas, International Movies, Romantic Movies","An Indian man with Asperger's syndrome living in San Francisco embarks on a journey across the U.S. to meet the president after a tragedy."
58,Movie,Band Baaja Baaraat,Maneesh Sharma,"Ranveer Singh, Anushka Sharma, Manu Rishi Chadha",India,2010,TV-PG,139 min,"Comedies, International Movies, Romantic Movies","Two youngsters from Delhi start a wedding planning business together. Their professional partnership is a huge success, but their personal relationship gets complicated."
59,Movie,Sholay,Ramesh Sippy,"Dharmendra, Amitabh Bachchan, Amjad Khan, Sanjeev Kumar, Hema Malini, Jaya Bachchan",India,1975,PG,204 min,"Action & Adventure, Classic Movies, International Movies","After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the help of two smaller-time criminals to help him capture the bandit."
60,Movie,Ludo,Anurag Basu,"Abhishek Bachchan, Rajkummar Rao, Pankaj Tripathi, Aditya Roy Kapur, Sanya Malhotra, Fatima Sana Shaikh",India,2020,TV-MA,150 min,"Comedies, Dramas, International Movies","From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal."
61,Movie,Kapoor & Sons,Shakun Batra,"Rishi Kapoor, Ratna Pathak Shah, Rajat Kapoor, Fawad Khan, Sidharth Malhotra, Alia Bhatt",India,2016,TV-14,132 min,"Comedies, Dramas, International Movies","Two estranged brothers return to their dysfunctional family home to visit their ailing grandfather. Old conflicts and secrets resurface."
62,TV Show,Aarya,Ram Madhvani,Sandeep Modi,"Sushmita Sen, Chandrachur Singh, Namit Das, Sikandar Kher",India,2020,TV-MA,1 Season,"Crime TV Shows, Dramas, International TV Shows","When her husband is shot, a doting wife and mother is forced to take over his illegal business and will do anything to protect her three children."
63,Movie,English Vinglish,Gauri Shinde,"Sridevi, Adil Hussain, Mehdi Nebbou, Priya Anand",India,2012,PG,134 min,"Comedies, Dramas, International Movies","A quiet, sweet-tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
64,Movie,Rockstar,Imtiaz Ali,"Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra",India,2011,TV-14,159 min,"Dramas, International Movies, Music & Musicals","A small-town boy who dreams of being a rock star is told that he needs to experience heartbreak to create great music. He sets out to fall in love, and then to get his heart broken."
65,Movie,Highway,Imtiaz Ali,"Alia Bhatt, Randeep Hooda, Durgesh Kumar",India,2014,TV-14,133 min,"Dramas, International Movies, Romantic Movies","Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper."
66,Movie,Neerja,Ram Madhvani,"Sonam Kapoor, Shabana Azmi, Yogendra Tiku, Shekhar Ravjiani",India,2016,TV-14,122 min,"Dramas, International Movies, Thrillers","The true story of Neerja Bhanot, a flight attendant who sacrificed her life while saving 359 passengers on a hijacked Pan Am flight in 1986."
67,Movie,Dilwale Dulhania Le Jayenge,Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal, Anupam Kher",India,1995,TV-14,189 min,"International Movies, Romantic Movies","When Raj and Simran first met on an inter-rail holiday in Europe, it wasn't exactly Love at first sight but when Simran is taken to India for an arranged marriage, things change."
68,Movie,Chennai Express,Rohit Shetty,"Shah Rukh Khan, Deepika Padukone, Nikitin Dheer, Sathyaraj",India,2013,PG-13,141 min,"Action & Adventure, Comedies, International Movies","A man's trip to fulfill his grandfather's last wish turns into an unexpected adventure when he meets a woman from a powerful South Indian family."
69,Movie,Paan Singh Tomar,Tigmanshu Dhulia,"Irrfan Khan, Mahie Gill, Rajesh Abhay",India,2012,TV-14,135 min,"Dramas, International Movies, Sports Movies","The true story of a champion athlete and soldier who becomes one of India's most feared dacoits."
70,Movie,OMG: Oh My God!,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Om Puri",India,2012,TV-PG,125 min,"Comedies, Dramas, Faith & Spirituality","A shopkeeper who is an atheist takes God to court when his shop is destroyed by an earthquake and the insurance company invokes the 'Act of God' clause."
71,Movie,Singham,Rohit Shetty,"Ajay Devgn, Kajal Aggarwal, Prakash Raj",India,2011,TV-14,143 min,"Action & Adventure, Dramas, International Movies","An honest and valiant police officer is transferred to a city that is controlled by a corrupt politician and gangster. He must fight the system to bring justice."
72,TV Show,Jamtara - Sabka Number Ayega,Soumendra Padhi,"Amit Sial, Dibyendu Bhattacharya, Aksha Pardasany, Sparsh Shrivastav",India,2020,TV-MA,1 Season,"Crime TV Shows, Dramas, International TV Shows","A group of young men in a small village in Jharkhand run a lucrative phishing scam, which gets them on the radar of a corrupt politician and a determined cop."
73,Movie,Raanjhanaa,Aanand L. Rai,"Dhanush, Sonam Kapoor, Abhay Deol, Swara Bhaskar",India,2013,TV-14,140 min,"Dramas, International Movies, Romantic Movies","A small-town boy's one-sided love for a girl from his childhood persists through the years. His passion leads him down a path of politics, love, and sacrifice."
74,Movie,Pad Man,R. Balki,"Akshay Kumar, Sonam Kapoor, Radhika Apte",India,2018,PG-13,140 min,"Comedies, Dramas, International Movies","Upon realizing the extent to which women are affected by their periods, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
75,Movie,Secret Superstar,Advait Chandan,"Zaira Wasim, Aamir Khan, Meher Vij, Raj Arjun",India,2017,PG,150 min,"Dramas, International Movies, Music & Musicals","A talented teenage singer-songwriter living with her abusive father chases her dreams of becoming a singing sensation under a pseudonym on the internet."
76,Movie,Jodhaa Akbar,Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Ila Arun",India,2008,PG,213 min,"Dramas, International Movies, Romantic Movies","A sixteenth-century political marriage of convenience between a Mughal emperor and a Rajput princess leads to true love and a change in the course of Indian history."
77,Movie,Thappad,Anubhav Sinha,"Taapsee Pannu, Pavail Gulati, Ratna Pathak Shah, Tanvi Azmi",India,2020,TV-14,142 min,"Dramas, International Movies","A single slap from her husband during a party shatters a woman's idyllic life, forcing her to question the foundations of her relationship and her own identity."
78,Movie,Kai Po Che!,Abhishek Kapoor,"Sushant Singh Rajput, Amit Sadh, Rajkummar Rao, Amrita Puri",India,2013,TV-14,120 min,"Dramas, International Movies, Sports Movies","Three friends start a cricket academy to train the next generation of players. Their bond is tested by religious politics, earthquakes, and personal ambitions."
79,Movie,Sanju,Rajkumar Hirani,"Ranbir Kapoor, Paresh Rawal, Vicky Kaushal, Manisha Koirala, Dia Mirza, Sonam Kapoor, Anushka Sharma",India,2018,TV-MA,161 min,"Dramas, International Movies","The controversial life of actor Sanjay Dutt, from his film career and personal struggles with addiction to his involvement in the 1993 Bombay bombings."
80,Movie,Lage Raho Munna Bhai,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani",India,2006,TV-PG,144 min,"Comedies, Dramas, International Movies","A gangster starts to see the spirit of Mahatma Gandhi. Through his interactions with the spirit, he begins to help people solve their problems using Gandhian principles."
81,Movie,NH10,Navdeep Singh,"Anushka Sharma, Neil Bhoopalam, Darshan Kumaar",India,2015,TV-MA,115 min,"Action & Adventure, Dramas, Thrillers","A young couple's road trip goes awry when they witness an honor killing. Their attempt to intervene puts their own lives in grave danger."
82,Movie,Bhaag Milkha Bhaag,Rakeysh Omprakash Mehra,"Farhan Akhtar, Sonam Kapoor, Divya Dutta, Pavan Malhotra",India,2013,TV-14,186 min,"Dramas, International Movies, Sports Movies","The true story of the 'Flying Sikh' - world champion runner and Olympian Milkha Singh - who overcame the massacre of his family, civil war during the India-Pakistan partition, and homelessness to become one of India's most iconic athletes."
83,TV Show,Gullak,Amrit Raj Gupta,"Jameel Khan, Geetanjali Kulkarni, Vaibhav Raj Gupta, Harsh Mayar",India,2019,TV-PG,2 Seasons,"Comedies, Dramas, International TV Shows","A collection of heartwarming and relatable tales from the life of the Mishra family, set in a small town in North India. Each episode is a slice of middle-class life."
84,Movie,Mary Kom,Omung Kumar,"Priyanka Chopra, Darshan Kumaar, Sunil Thapa",India,2014,TV-14,122 min,"Dramas, International Movies, Sports Movies","The story of the Indian boxer Mary Kom, who overcame numerous hardships to become a world champion."
85,Movie,Gangs of Wasseypur,Anurag Kashyap,"Manoj Bajpayee, Richa Chadda, Nawazuddin Siddiqui, Tigmanshu Dhulia, Pankaj Tripathi, Huma Qureshi, Rajkummar Rao, Jaideep Ahlawat",India,2012,TV-MA,321 min,"Action & Adventure, Dramas, International Movies","The complete saga. A clash between Sultan and Shahid Khan leads to Khan's expulsion from Wasseypur, and ignites a brutal fifty-year feud spanning three generations."
86,Movie,Bulbbul,Anvita Dutt,"Tripti Dimri, Avinash Tiwary, Paoli Dam, Rahul Bose, Parambrata Chatterjee",India,2020,TV-MA,94 min,"Dramas, Horror Movies, International Movies","A child bride grows into an enigmatic woman ruling a household, harboring a painful past as supernatural murders of men plague her village."
87,TV Show,Apharan,Sidharth Sengupta,"Arunoday Singh, Mahie Gill, Nidhi Singh, Varun Badola",India,2018,TV-MA,1 Season,"Action & Adventure, Crime TV Shows, International TV Shows","A senior inspector with the Uttarakhand police is lured into kidnapping a young girl at her own request. The simple plan goes horribly wrong, landing him in deep trouble."
88,Movie,Lipstick Under My Burkha,Alankrita Shrivastava,"Ratna Pathak Shah, Konkona Sen Sharma, Aahana Kumra, Plabita Borthakur",India,2016,TV-MA,117 min,"Comedies, Dramas, Independent Movies","Four women in a small town in India seek freedom from the confines of their conservative society through small acts of rebellion."
89,Movie,Raazi,Meghna Gulzar,"Alia Bhatt, Vicky Kaushal, Jaideep Ahlawat, Rajit Kapur",India,2018,TV-14,138 min,"Action & Adventure, Dramas, Thrillers","In 1971, a young Indian woman agrees to marry a Pakistani army officer to spy for her country during the Indo-Pakistani War."
90,Movie,Simmba,Rohit Shetty,"Ranveer Singh, Sara Ali Khan, Sonu Sood, Ashutosh Rana",India,2018,TV-MA,158 min,"Action & Adventure, Comedies, Dramas","A corrupt and unethical police officer enjoys all the perks of his position until a tragedy strikes close to him, forcing him to choose the path of righteousness."
91,Movie,Bareilly Ki Barfi,Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi",India,2017,TV-14,116 min,"Comedies, International Movies, Romantic Movies","A free-spirited young woman in a small town in India falls in love with the author of a book. She enlists the help of a local press owner to find him, leading to a comedy of errors."
92,Movie,Hindi Medium,Saket Chaudhary,"Irrfan Khan, Saba Qamar, Deepak Dobriyal, Dishita Sehgal",India,2017,TV-14,132 min,"Comedies, Dramas, International Movies","A couple from Chandni Chowk in Delhi aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi."
